local bw	local bw normal	local bw 2	local bw normal 2	global of	global gs
2.4099	2.6728	2.5145	2.7243	3.0746	2.641
2.2419	2.7552	1.989	2.4909	2.5264	2.468
2.2607	2.5228	2.2927	2.5182	2.9083	2.3939
2.2911	2.5576	2.349	2.5407	2.4952	2.444
2.3351	2.6018	2.4042	2.6193	2.7218	2.5228
2.3104	3.0311	1.8543	2.423	2.4535	2.4659
2.2671	3.0756	2.4227	3.1871	2.8273	2.6807
2.6117	2.8707	2.8384	3.0402	3.7454	2.65
2.1519	2.4102	2.2077	2.4299	2.4258	2.3466
2.2	2.7203	1.8302	2.3176	2.6042	2.4894
2.2966	2.5709	2.3214	2.542	2.817	2.4356
2.3338	2.9059	2.1576	2.585	2.5398	2.5466
2.3329	2.981	1.8634	2.4132	2.6469	2.6059
2.4067	2.7459	2.4045	2.6548	2.7381	2.6018
2.2574	2.9507	2.0065	2.575	2.7013	2.6163
2.2434	3.0348	1.7569	2.5464	2.4605	2.4763
2.1713	2.9418	1.9207	2.6005	2.4986	2.512
2.4532	3.1182	1.9924	2.5626	2.615	2.6031
2.1334	2.4081	2.0807	2.2839	2.2405	2.2491
2.0716	2.7109	1.8809	2.4475	2.2594	2.2507
