lr_opt	bs_opt	c_opt	         nu_opt_local nu_opt_gs	nu_opt_of	h_opt_gs	h_opt_of	     nu2_opt	     h_opt_init	         c_opt_2
0.1	16	2.22666666666667	Inf	2.01	Inf	1.33888888888889	2.00333333333333	3	2.66777777777778	0.453333333333333
0.1	32	1.78333333333333	Inf	2.01	4	1.00666666666667	1.67111111111111	3	1.67111111111111	0.453333333333333
0.0505	16	2.22666666666667	Inf	3	10	1.67111111111111	2.00333333333333	2.01	1.67111111111111	2.67
0.0505	32	1.78333333333333	20	2.01	20	1.33888888888889	2.66777777777778	2.01	1.67111111111111	1.78333333333333
0.001	1	2.22666666666667	Inf	2.01	20	1.67111111111111	2.33555555555556	2.01	2.33555555555556	2.22666666666667
0.001	1	2.22666666666667	Inf	3	4	1.67111111111111	1.33888888888889	2.01	2.66777777777778	2.67
0.0505	32	1.78333333333333	20	2.01	Inf	1.33888888888889	1.67111111111111	2.01	1.33888888888889	2.22666666666667
0.0505	16	1.78333333333333	20	2.01	10	1.33888888888889	2.00333333333333	2.01	2.00333333333333	2.67
0.0505	8	1.78333333333333	10	10	Inf	1.67111111111111	1.67111111111111	3	1.67111111111111	0.453333333333333
0.0505	32	2.22666666666667	Inf	2.01	Inf	1.33888888888889	2.33555555555556	2.01	2.66777777777778	2.22666666666667
0.001	1	2.22666666666667	Inf	2.01	2.01	1.67111111111111	1.67111111111111	2.01	1.67111111111111	2.22666666666667
0.001	1	2.22666666666667	Inf	2.01	2.01	1.00666666666667	1.00666666666667	3	1.33888888888889	0.453333333333333
0.001	1	1.78333333333333	10	4	Inf	2.00333333333333	2.66777777777778	2.01	2.00333333333333	2.22666666666667
0.1	16	1.78333333333333	10	3	20	1.33888888888889	1.67111111111111	10	1.33888888888889	0.01
0.0505	16	1.78333333333333	Inf	2.01	3	1.33888888888889	2.00333333333333	2.01	1.33888888888889	2.22666666666667
0.0505	8	1.34	                Inf	3	Inf	1.00666666666667	2.00333333333333	3	2.33555555555556	0.453333333333333
0.001	1	2.22666666666667	Inf	4	10	1.67111111111111	1.67111111111111	3	2.00333333333333	0.453333333333333
0.1	16	1.78333333333333	Inf	5	Inf	1.67111111111111	2.00333333333333	3	1.33888888888889	0.453333333333333
0.1	32	1.78333333333333	Inf	2.01	3	1.33888888888889	1.33888888888889	2.01	1.33888888888889	2.67
0.0505	32	2.22666666666667	Inf	20	Inf	2.66777777777778	2.33555555555556	2.01	2.33555555555556	2.22666666666667
