lr_opt   bs_opt   c_opt   nu_opt_local  nu_opt_gs   nu_opt_of   h_opt_gs   h_opt_of   nu2_opt   h_opt_init   c_opt_2
5.05e-05 16       1.783   20            2.01        Inf         1.339      2.336      2.01      1.339        2.227
1e-04    8        3.113   Inf           5           4           2.668      1.339      4         2.003        4
1e-04    8        2.227   10            2.01        Inf         2.003      2.336      2.01      1.671        1.34
5.05e-05 32       2.227   Inf           3           Inf         1.339      1.671      2.01      1.671        1.783
1e-04    8        2.67    Inf           3           Inf         Inf        2.003      2.01      2.003        1.34
5.05e-05 16       2.227   Inf           2.01        4           1.671      1.671      2.01      2.003        2.226
5.05e-05 32       1.783   Inf           3           Inf         1.339      2.003      3         1.671        0.453
5.05e-05 16       2.227   Inf           2.01        Inf         1.339      2.003      2.01      1.671        1.783
5.05e-05 32       2.227   Inf           4           10          2.003      2.003      2.01      2.003        2.226
1e-04    32       2.67    Inf           3           2.01        1.671      1.007      2.01      1.007        1.783
5.05e-05 16       2.67    Inf           10          5           2.668      1.671      2.01      2.003        1.783
5.05e-05 16       2.227   Inf           5           Inf         1.671      1.671      2.01      1.671        2.226
5.05e-05 32       2.227   Inf           10          Inf         1.671      2.003      3         2.003        0.453
5.05e-05 8        3.113   Inf           3           2.01        2.336      1.339      2.01      1.671        1.783
1e-04    32       2.67    Inf           2.01        2.01        1.671      1.339      2.01      1.339        1.783
5.05e-05 16       2.67    Inf           5           Inf         2.336      2.003      2.01      2.336        2.67
1e-04    32       2.67    Inf           5           3           2.003      1.339      2.01      1.339        1.783
1e-04    16       2.67    Inf           10          Inf         2.668      2.668      2.01      2.336        1.783
1e-04    16       2.227   Inf           2.01        4           1.339      1.671      2.01      2.668        1.783
1e-04    16       2.67    Inf           3           4           2.003      1.671      2.01      2.003        1.783
