lr_opt   bs_opt   c_opt   nu_opt_local   nu_opt_gs   nu_opt    h_opt_gs   h_opt of   h_opt_init   c_opt_2
0.005    32       2.227   Inf            5           Inf       2.336      2.336      2.336        2.227
0.005    16       2.67    Inf            4           5         1.671      1.339      1.671        0.453
0.005    1        2.67    Inf            3           Inf       1.671      1.671      1.671        2.227
0.01     8        2.67    Inf            20          Inf       2.668      2.003      2.003        3.113
0.01     8        2.67    Inf            4           Inf       2.003      2.003      2.003        2.67
0.005    1        2.227   Inf            2.01        3         1.671      1.671      2.336        0.453
0.005    1        2.67    Inf            2.01        2.01      1.671      1.007      1.671        3.113
0.005    32       2.227   Inf            2.01        Inf       1.671      2.003      2.336        2.67
0.005    1        2.67    Inf            3           Inf       2.003      1.671      1.671        2.67
0.005    32       2.67    Inf            2.01        5         1.671      1.339      1.339        0.453
0.01     16       2.67    Inf            2.01        Inf       1.671      2.003      2.336        2.67
0.005    16       2.67    Inf            4           5         2.668      2.003      2.003        3.113
0.005    32       2.67    Inf            2.01        3         1.671      1.339      1.007        0.453
0.005    32       2.227   Inf            3           20        1.671      2.003      2.336        2.67
0.005    1        2.67    Inf            2.01        3         2.003      1.339      2.003        0.453
0.005    8        2.227   Inf            2.01        2.01      2.003      1.671      1.671        2.67
0.01     16       2.67    Inf            3           2.01      2.003      1.339      1.339        4
0.01     32       2.227   Inf            2.01        3         1.339      1.339      1.339        0.453
0.005    1        2.67    Inf            5           Inf       2.003      2.003      1.671        2.67
0.01     16       2.67    Inf            4           3         1.671      1.007      1.339        0.453
